============================================================
Mini I-JEPA Training
============================================================
Device      : cuda
Epochs      : 100
Batch size  : 32
Embed dim   : 192
Num patches : 196
============================================================
Total params     : 11,517,888
Trainable params : 6,000,768
Frozen params    : 5,517,120  (target encoder)
============================================================
Building dataloader...
Dataset size : 100,000 images
Batches/epoch: 3,125
============================================================
Starting training for 100 epochs on cuda
Trainable params: 6,000,768
      epoch 002 batch 1450/3125 loss=0.2242 lr=0.000020
      epoch 002 batch 1500/3125 loss=0.2377 lr=0.000020
      epoch 002 batch 1550/3125 loss=0.2360 lr=0.000020
      epoch 002 batch 1600/3125 loss=0.2232 lr=0.000020
      epoch 002 batch 1650/3125 loss=0.1893 lr=0.000020
      epoch 002 batch 1700/3125 loss=0.2079 lr=0.000020
      epoch 002 batch 1750/3125 loss=0.2301 lr=0.000020
      epoch 002 batch 1800/3125 loss=0.2194 lr=0.000020
      epoch 002 batch 1850/3125 loss=0.1907 lr=0.000020
      epoch 002 batch 1900/3125 loss=0.1833 lr=0.000020
      epoch 002 batch 1950/3125 loss=0.1891 lr=0.000020
      epoch 002 batch 2000/3125 loss=0.2060 lr=0.000020
      epoch 002 batch 2050/3125 loss=0.2263 lr=0.000020
      epoch 002 batch 2100/3125 loss=0.2370 lr=0.000020
      epoch 002 batch 2150/3125 loss=0.1990 lr=0.000020
      epoch 002 batch 2200/3125 loss=0.1748 lr=0.000020
      epoch 002 batch 2250/3125 loss=0.2662 lr=0.000020
      epoch 002 batch 2300/3125 loss=0.2149 lr=0.000020
      epoch 002 batch 2350/3125 loss=0.2034 lr=0.000020
      epoch 002 batch 2400/3125 loss=0.1908 lr=0.000020
      epoch 002 batch 2450/3125 loss=0.1993 lr=0.000020
      epoch 002 batch 2500/3125 loss=0.2504 lr=0.000020
      epoch 002 batch 2550/3125 loss=0.2276 lr=0.000020
      epoch 002 batch 2600/3125 loss=0.2211 lr=0.000020
      epoch 002 batch 2650/3125 loss=0.2313 lr=0.000020
      epoch 002 batch 2700/3125 loss=0.2780 lr=0.000020
      epoch 002 batch 2750/3125 loss=0.2099 lr=0.000020
